schoolName,total_users_flagged,num_troubled,num_partially_missing,num_reliable,pct_troubled,pct_partial,pct_reliable
158-MS-KHI-MLR,193,5,135,53,2.5906735751295336,69.94818652849742,27.461139896373055
237-MS-KHR-SUK,133,4,92,37,3.007518796992481,69.17293233082707,27.819548872180448
014-MS-KHI-MLR,248,1,145,102,0.4032258064516129,58.46774193548387,41.12903225806452
129-MS-KHI-MLR,204,2,84,118,0.9803921568627451,41.17647058823529,57.84313725490197
165-MS-HYD-HYD,142,2,68,72,1.4084507042253522,47.88732394366197,50.70422535211267
191-MS-MPK-MPK,122,0,45,77,0.0,36.885245901639344,63.114754098360656
112-MS-KHI-MLR,198,1,116,81,0.5050505050505051,58.58585858585859,40.909090909090914
193-MS-MPK-MPK,126,2,6,118,1.5873015873015872,4.761904761904762,93.65079365079364
132-MS-KHI-MLR,159,5,38,116,3.1446540880503147,23.89937106918239,72.95597484276729
131-MS-KHI-MLR,175,2,80,93,1.1428571428571428,45.714285714285715,53.142857142857146
180-MS-HYD-HYD,164,5,37,122,3.048780487804878,22.5609756097561,74.39024390243902
239-MS-LRK-LRK,109,1,78,30,0.9174311926605505,71.55963302752293,27.522935779816514
185-MS-KHI-MLR,126,1,21,104,0.7936507936507936,16.666666666666664,82.53968253968253
160-MS-KHI-MLR,191,3,139,49,1.5706806282722512,72.77486910994764,25.654450261780106
005-MS-KHI-MLR,128,1,67,60,0.78125,52.34375,46.875
121-MS-KHI-KRG,207,2,51,154,0.966183574879227,24.637681159420293,74.39613526570048
217-MS-BNB-THT,152,0,7,145,0.0,4.605263157894736,95.39473684210526
220-MS-BNB-THT,146,1,82,63,0.684931506849315,56.16438356164384,43.15068493150685
173-MS-KHI-MLR,156,3,101,52,1.9230769230769231,64.74358974358975,33.33333333333333
111-MS-KHI-MLR,221,2,92,127,0.904977375565611,41.6289592760181,57.466063348416284
023-MS-KHI-MLR,110,0,23,87,0.0,20.909090909090907,79.0909090909091
164-MS-HYD-HYD,174,0,71,103,0.0,40.804597701149426,59.195402298850574
