schoolName,average_DLI,num_students_with_DLI
158-MS-KHI-MLR,0.32186269808754486,122
237-MS-KHR-SUK,0.4526647966339411,2
014-MS-KHI-MLR,0.4178076614813076,99
129-MS-KHI-MLR,0.46009859670714814,159
105-IS-KHI-KW,0.796812653523154,94
165-MS-HYD-HYD,0.4036334263894307,31
191-MS-MPK-MPK,0.38170737628167173,100
112-MS-KHI-MLR,0.4601425012391723,109
193-MS-MPK-MPK,0.37738293654966043,71
132-MS-KHI-MLR,0.39140283266678066,100
203-IS-KHI-KE,0.7198307588570292,48
131-MS-KHI-MLR,0.410516342277008,117
180-MS-HYD-HYD,0.4875464858447367,131
239-MS-LRK-LRK,0.4659287352367056,57
205-IS-KHI-ORG,0.7549508985632155,102
185-MS-KHI-MLR,0.4368172240073955,96
160-MS-KHI-MLR,0.40516321674966016,94
005-MS-KHI-MLR,0.4805007172358184,61
121-MS-KHI-KRG,0.31535963731656513,104
217-MS-BNB-THT,0.4145304587816875,93
220-MS-BNB-THT,0.3247611366867524,100
208-IS-KHI-MLR,0.6014115186418351,87
206-IS-KHI-ORG,0.6129861965286235,127
173-MS-KHI-MLR,0.4362103604596563,113
111-MS-KHI-MLR,0.4704311123377543,124
201-IS-KHI-MLR,0.627672900857418,68
023-MS-KHI-MLR,0.37045044432533464,80
164-MS-HYD-HYD,0.4509709643471328,119
162-MS-HYD-HYD,0.39704069114408946,58
211-IS-KHI-KRG,0.6141099109636161,53
015-MS-KHI-MLR,0.49185690115159936,127
235-MS-KHR-SUK,0.4650481131063055,29
125-MS-KHI-MLR,0.4799798691997511,150
223-MS-MPK-MPK,0.3170123049641122,3
102-MS-KHI-MLR,0.4546526068214048,98
241-IS-KHI-ORG,0.691864720322134,72
179-MS-HYD-HYD,0.5001386919441081,69
128-MS-KHI-MLR,0.25854461122648564,116
120-MS-KHI-KRG,0.3491672784459908,31
156-MS-KHI-MLR,0.3296108893117186,47
152-MS-KHI-KRG,0.45476877019807077,78
181-MS-HYD-HYD,0.47681724696719585,78
020-MS-KHI-MLR,0.33206263424720983,59
209-IS-KHI-KMR,0.5692491604562517,29
228-MS-LRK-LRK,0.37082913452167887,36
177-MS-KHI-KRG,0.4034222267793836,27
154-MS-KHI-KRG,0.3941358857180877,74
212-IS-SWN,0.6551744078307014,105
151-IS-HYD-JAM,0.7316434931574437,100
147-MS-KHI-KRG,0.49128814360790746,73
006-MS-KHI-MLR,0.47454348745263797,80
167-MS-HYD-HYD,0.5393925921950414,143
175-MS-KHI-KRG,0.38413914709781644,125
176-MS-KHI-MLR,0.4820852346424397,93
118-MS-KHI-MLR,0.4603993644935847,147
146-MS-KHI-MLR,0.4767748130413925,142
134-MS-KHI-MLR,0.41993801436321904,171
004-MS-KHI-MLR,0.5070875598300965,66
130-MS-KHI-MLR,0.4478051108913648,147
101-MS-KHI-MLR,0.40085029624430996,105
153-MS-KHI-MLR,0.4334069284768492,79
168-MS-HYD-HYD,0.5062393853887562,143
197-MS-HYD-HYD,0.37809448378533583,23
109-MS-KHI-MLR,0.4314367229541753,166
231-MS-LRK-LRK,0.6165322580645162,2
