School_Id,SEF_School_Code,Type,School_Name,Cluster,Area,District,Division,Status,Launch_Date,Closure_Date,Baseline_Test,Midline_Test,Endline_Test,ENUMA_Expire_Notes,Internet_Types,Provider,Connectivity,CCTV,Device_ID,google_map,Loc_X,Loc_Y,Com_Meetings,Com_Appr,Room_Appr,Lr_Proc,Init_Stud_Data,Trained_Fac,Hired_Fac,Legend_Type,Loc_X_clean,Loc_Y_clean
101-MS-KHI-MLR,160401002.0,MicroSchool,Dani Partho,Razzaqabad,Korangi,Malir,Karachi,Active,10th June 2023,missing,missing,missing,missing,2025-04-14,4G Device,Telenor  ,Acceptable,Yes,TTWF-4GRTR-096,missing,24.873413,67.297054,2023-04-15,2023-04-15,2023-05-10,1th June,2023-04-11,2023-05-01,2023-06-10 00:00:00,missing,24.8734130859375,67.29705047607422
102-MS-KHI-MLR,160401003.0,MicroSchool,Pathan Colony,Razzaqabad,Razzaqabad,Malir,Karachi,Closed,12th June 2023,2024-06-01 00:00:00,missing,missing,missing,2025-04-14,4G Device,Jazz,Acceptable,Yes,TTWF-4G-16,missing,24.51537,67.303633,2023-04-15,2023-04-15,2023-05-10,1th June,2023-04-16,2023-05-01,2023-06-12 00:00:00,missing,24.515369415283203,67.30363464355469
103-MS-KHI-MLR,160401004.0,MicroSchool,Dur Muhammad,Shah Latif,Korangi,Malir,Karachi,Active,10th August 2023,missing,missing,missing,missing,2025-04-14,4G Device,Telenor  ,Acceptable,Yes,TTWF-4GRTR-063,"https://www.google.com/maps/place/24%C2%B051'41.4%22N+67%C2%B017'06.4%22E/@24.8618933,67.2848989,19z/data=!4m4!3m3!8m2!3d24.86149!4d67.28512?entry=ttu",24.57779,67.17155,2023-04-19,2023-04-19,2023-07-10,2th August,2023-05-10,2023-07-06,2023-08-10 00:00:00,missing,24.577789306640625,67.17154693603516
104-MS-KHI-MLR,160401005.0,MicroSchool,Ghazi G Block,Gadap,Korangi,Malir,Karachi,Active,15th August 2023,missing,missing,missing,missing,2025-04-14,4G Device,Zong,Acceptable,Yes,TTWF-4GRTR-118,"https://www.google.com/maps/place/24%C2%B057'55.3%22N+67%C2%B008'40.7%22E/@24.964816,67.1449097,368m/data=!3m1!1e3!4m4!3m3!8m2!3d24.96536!4d67.14465?entry=ttu",24.95015,67.08426,2023-04-27,2023-04-27,2023-07-01,2th August,2023-05-11,2023-07-06,2023-08-15 00:00:00,missing,24.950149536132812,67.08425903320312
105-IS-KHI-KW,140105021.0,InSchool,DIL FPT,Orangi Town,missing,Karachi West,Karachi,Active,15th August 2023,missing,missing,missing,missing,2025-03-20,4G Router,Jazz,Acceptable,missing,TTWF-4GRTR-024,https://maps.app.goo.gl/QyvwtAU3D8bbpn1N8,24.98284,67.00884,missing,missing,missing,missing,missing,missing,missing,missing,24.982839584350586,67.00884246826172
106-IS-KHI-KW,140105022.0,InSchool,DIL J2,Orangi Town,missing,Karachi West,Karachi,Active,17th August 2023,missing,missing,missing,missing,2025-04-26,4G Router,Jazz,Acceptable,missing,TTWF-4G-60,https://maps.app.goo.gl/sBFakc3kFUzhEp868,24.9923,66.99517,missing,missing,missing,missing,missing,missing,missing,missing,24.992300033569336,66.99517059326172
107-IS-KHI-KW,140105027.0,InSchool,DIL J7,Orangi Town,missing,Karachi West,Karachi,Active,24th August 2023,missing,missing,missing,missing,2025-04-14,4G Router,Jazz,Acceptable,missing,TTWF-4GRTR-137,https://maps.app.goo.gl/paYjmvY6bnoTzpj16,24.55.104,66.99522,missing,missing,missing,missing,missing,missing,missing,missing,missing,66.9952163696289
108-MS-KHI-MLR,160401006.0,MicroSchool,Allah Bukhsh Jhokiyo,Razzaqabad,Korangi,Malir,Karachi,Active,6th September 2023,missing,missing,missing,missing,2025-04-14,4G Device,Zong,Acceptable,Yes,TTWF-4GRTR-076,missing,24.91127,67.19244,2023-07-07,2023-07-01,2023-08-29,2023-08-28 00:00:00,2023-08-06,2023-08-21,6th September,missing,24.911270141601562,67.19243621826172
109-MS-KHI-MLR,160401007.0,MicroSchool,Shahjahan Arfani Goth,Razzaqabad,Korangi,Malir,Karachi,Active,8th September 2023,missing,missing,missing,missing,2025-04-14,4G Device,Zong,Acceptable,Yes,TTWF-4GRTR-077,missing,24.85909,67.27581,2023-07-07,2023-07-01,2023-08-28,2023-08-29 00:00:00,2023-08-06,2023-08-21,8th September,missing,24.85909080505371,67.27581024169922
110-MS-KHI-MLR,160401008.0,MicroSchool,Yousuf Arfani Goth,Shah Latif,Korangi,Malir,Karachi,Active,16th September 2023,missing,missing,missing,missing,2025-04-26,4G Device,Jazz,Acceptable,Yes,TTWF-4G-19,missing,24.51472,67.25668,2023-07-07,2023-07-01,2023-08-28,8th September,2023-08-09,2023-08-21,16th September,missing,24.514720916748047,67.25668334960938
111-MS-KHI-MLR,160401009.0,MicroSchool,Hammar Khan Kalmati,Gagar Phatak-1,Malir,Malir,Karachi,Active,25th September 2023,missing,missing,missing,missing,2025-04-26,4G Device,Jazz,Acceptable,Yes,TTWF-4G-15,missing,24.51998,67.25882,2023-08-11,2023-08-11,2023-09-06,15th September,2023-08-28,2023-09-11,2023-09-25 00:00:00,missing,24.51997947692871,67.25881958007812
