,index,schoolName,average_activity,gifted_activity,needs attention_activity,average_curriculum,gifted_curriculum,poor_curriculum,average_dig,gifted_dig,poor_dig,average_fin,gifted_fin,poor_fin
0,0,003-MS-KHI-MLR,0.7846153846153846,0.0,0.2153846153846154,0.8923076923076924,0.03076923076923077,0.07692307692307693,0.627906976744186,0.27906976744186046,0.09302325581395349,0.7846153846153846,0.07692307692307693,0.13846153846153847
1,1,004-MS-KHI-MLR,0.7027027027027027,0.08108108108108109,0.21621621621621623,0.8611111111111112,0.08333333333333333,0.05555555555555555,0.8076923076923077,0.07692307692307693,0.11538461538461539,0.7837837837837838,0.05405405405405406,0.16216216216216217
2,2,005-MS-KHI-MLR,0.7872340425531915,0.0,0.2127659574468085,0.9148936170212766,0.0425531914893617,0.0425531914893617,0.6190476190476191,0.3333333333333333,0.047619047619047616,0.8297872340425532,0.0425531914893617,0.1276595744680851
3,3,006-MS-KHI-MLR,0.7407407407407407,0.09259259259259259,0.16666666666666666,0.6981132075471698,0.05660377358490566,0.24528301886792453,0.9375,0.0,0.0625,0.6851851851851852,0.05555555555555555,0.25925925925925924
4,4,007-MS-LHR-CNT,0.8375,0.1625,0.0,0.8,0.0,0.2,0.6271186440677966,0.2542372881355932,0.11864406779661017,0.95,0.0,0.05
5,5,011-MS-LHR-CNT,0.9375,0.0625,0.0,0.9791666666666666,0.0,0.020833333333333332,0.5,0.5,0.0,0.875,0.0,0.125
6,6,012-MS-KHI-MLR,0.5573770491803278,0.18032786885245902,0.26229508196721313,0.8148148148148148,0.1111111111111111,0.07407407407407407,0.6666666666666666,0.3333333333333333,0.0,0.5573770491803278,0.14754098360655737,0.29508196721311475
7,7,013-MS-ISB-KRL,0.4714285714285714,0.5142857142857142,0.014285714285714285,0.7391304347826086,0.11594202898550725,0.14492753623188406,0.8,0.14285714285714285,0.05714285714285714,0.7857142857142857,0.17142857142857143,0.04285714285714286
8,8,014-MS-KHI-MLR,0.7083333333333334,0.020833333333333332,0.2708333333333333,0.723404255319149,0.02127659574468085,0.2553191489361702,0.8275862068965517,0.13793103448275862,0.034482758620689655,0.8541666666666666,0.0,0.14583333333333334
9,9,015-MS-KHI-MLR,0.7887323943661971,0.056338028169014086,0.15492957746478872,0.9,0.02857142857142857,0.07142857142857142,0.7407407407407407,0.2222222222222222,0.037037037037037035,0.9154929577464789,0.04225352112676056,0.04225352112676056
10,10,016-MS-LHR-CNT,0.7777777777777778,0.2222222222222222,0.0,0.7777777777777778,0.0,0.2222222222222222,0.7692307692307693,0.14102564102564102,0.08974358974358974,0.9259259259259259,0.06172839506172839,0.012345679012345678
11,11,017-MS-LHR-CNT,0.7083333333333334,0.2916666666666667,0.0,0.8541666666666666,0.0,0.14583333333333334,0.6595744680851063,0.23404255319148937,0.10638297872340426,1.0,0.0,0.0
12,12,018-MS-KHI-KS,0.7454545454545455,0.03636363636363636,0.21818181818181817,0.7090909090909091,0.14545454545454545,0.14545454545454545,0.7666666666666667,0.23333333333333334,0.0,0.6909090909090909,0.14545454545454545,0.16363636363636364
13,13,020-MS-KHI-MLR,0.8591549295774648,0.028169014084507043,0.11267605633802817,0.9014084507042254,0.04225352112676056,0.056338028169014086,0.75,0.05555555555555555,0.19444444444444445,0.8028169014084507,0.04225352112676056,0.15492957746478872
14,14,022-MS-KHI-MLR,0.4838709677419355,0.3225806451612903,0.1935483870967742,0.6153846153846154,0.34615384615384615,0.038461538461538464,0.9090909090909091,0.0,0.09090909090909091,0.6363636363636364,0.3333333333333333,0.030303030303030304
15,15,023-MS-KHI-MLR,0.9195402298850575,0.022988505747126436,0.05747126436781609,0.8045977011494253,0.13793103448275862,0.05747126436781609,0.8,0.016666666666666666,0.18333333333333332,0.8390804597701149,0.12643678160919541,0.034482758620689655
16,16,101-MS-KHI-MLR,0.8181818181818182,0.03409090909090909,0.14772727272727273,0.8160919540229885,0.09195402298850575,0.09195402298850575,0.8,0.08,0.12,0.8068181818181818,0.07954545454545454,0.11363636363636363
17,17,103-MS-KHI-MLR,0.7611940298507462,0.05970149253731343,0.1791044776119403,0.9104477611940298,0.029850746268656716,0.05970149253731343,0.9705882352941176,0.029411764705882353,0.0,0.8805970149253731,0.029850746268656716,0.08955223880597014
18,18,104-MS-KHI-MLR,0.7037037037037037,0.018518518518518517,0.2777777777777778,0.8076923076923077,0.019230769230769232,0.17307692307692307,0.8181818181818182,0.045454545454545456,0.13636363636363635,0.7777777777777778,0.018518518518518517,0.2037037037037037
19,19,108-MS-KHI-MLR,0.5555555555555556,0.047619047619047616,0.3968253968253968,0.7903225806451613,0.016129032258064516,0.1935483870967742,0.7954545454545454,0.045454545454545456,0.1590909090909091,0.873015873015873,0.015873015873015872,0.1111111111111111
20,20,109-MS-KHI-MLR,0.8214285714285714,0.011904761904761904,0.16666666666666666,0.8928571428571429,0.05952380952380952,0.047619047619047616,0.8088235294117647,0.08823529411764706,0.10294117647058823,0.8690476190476191,0.07142857142857142,0.05952380952380952
21,21,110-MS-KHI-MLR,0.8192771084337349,0.060240963855421686,0.12048192771084337,0.8658536585365854,0.04878048780487805,0.08536585365853659,1.0,0.0,0.0,0.8433734939759037,0.03614457831325301,0.12048192771084337
22,22,111-MS-KHI-MLR,0.8518518518518519,0.05555555555555555,0.09259259259259259,0.7547169811320755,0.018867924528301886,0.22641509433962265,0.8518518518518519,0.1111111111111111,0.037037037037037035,0.7222222222222222,0.037037037037037035,0.24074074074074073
23,23,112-MS-KHI-MLR,0.7945205479452054,0.0821917808219178,0.1232876712328767,0.8611111111111112,0.013888888888888888,0.125,0.8181818181818182,0.12121212121212122,0.06060606060606061,0.7671232876712328,0.0136986301369863,0.2191780821917808
24,24,114-MS-KHI-MLR,0.9066666666666666,0.04,0.05333333333333334,0.7733333333333333,0.21333333333333335,0.013333333333333334,0.7777777777777778,0.12698412698412698,0.09523809523809523,0.8157894736842105,0.17105263157894737,0.013157894736842105
25,25,115-MS-KHI-MLR,0.6545454545454545,0.23636363636363636,0.10909090909090909,0.8,0.12,0.08,0.8,0.1,0.1,0.7272727272727273,0.12727272727272726,0.14545454545454545
26,26,117-MS-KHI-MLR,0.8681318681318682,0.054945054945054944,0.07692307692307693,0.8295454545454546,0.125,0.045454545454545456,0.8461538461538461,0.10256410256410256,0.05128205128205128,0.7802197802197802,0.0989010989010989,0.12087912087912088
27,27,118-MS-KHI-MLR,0.7808219178082192,0.0547945205479452,0.1643835616438356,0.8732394366197183,0.07042253521126761,0.056338028169014086,0.9016393442622951,0.08196721311475409,0.01639344262295082,0.9315068493150684,0.0547945205479452,0.0136986301369863
28,28,119-MS-KHI-MLR,0.7692307692307693,0.057692307692307696,0.17307692307692307,0.75,0.019230769230769232,0.23076923076923078,0.9512195121951219,0.0,0.04878048780487805,0.8269230769230769,0.038461538461538464,0.1346153846153846
29,29,120-MS-KHI-KRG,0.6976744186046512,0.16279069767441862,0.13953488372093023,0.5853658536585366,0.04878048780487805,0.36585365853658536,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.5813953488372093,0.046511627906976744,0.37209302325581395
30,30,121-MS-KHI-KRG,0.8571428571428571,0.02197802197802198,0.12087912087912088,0.8444444444444444,0.06666666666666667,0.08888888888888889,0.8571428571428571,0.0,0.14285714285714285,0.7912087912087912,0.06593406593406594,0.14285714285714285
31,31,125-MS-KHI-MLR,0.7837837837837838,0.05405405405405406,0.16216216216216217,0.863013698630137,0.1232876712328767,0.0136986301369863,0.6964285714285714,0.23214285714285715,0.07142857142857142,0.7567567567567568,0.16216216216216217,0.08108108108108109
32,32,128-MS-KHI-MLR,0.8554216867469879,0.012048192771084338,0.13253012048192772,0.8795180722891566,0.12048192771084337,0.0,0.6,0.0,0.4,0.8928571428571429,0.10714285714285714,0.0
33,33,129-MS-KHI-MLR,0.8765432098765432,0.037037037037037035,0.08641975308641975,0.8860759493670886,0.05063291139240506,0.06329113924050633,0.8870967741935484,0.04838709677419355,0.06451612903225806,0.9012345679012346,0.04938271604938271,0.04938271604938271
34,34,130-MS-KHI-MLR,0.603448275862069,0.1896551724137931,0.20689655172413793,0.43859649122807015,0.08771929824561403,0.47368421052631576,0.9024390243902439,0.04878048780487805,0.04878048780487805,0.7457627118644068,0.11864406779661017,0.13559322033898305
35,35,131-MS-KHI-MLR,0.6818181818181818,0.22727272727272727,0.09090909090909091,0.7674418604651163,0.16279069767441862,0.06976744186046512,0.7083333333333334,0.041666666666666664,0.25,0.75,0.1590909090909091,0.09090909090909091
36,36,132-MS-KHI-MLR,0.765625,0.21875,0.015625,0.75,0.15625,0.09375,0.8095238095238095,0.047619047619047616,0.14285714285714285,0.78125,0.1875,0.03125
37,37,133-MS-KHI-MLR,0.7681159420289855,0.07246376811594203,0.15942028985507245,0.782608695652174,0.14492753623188406,0.07246376811594203,0.7619047619047619,0.09523809523809523,0.14285714285714285,0.6376811594202898,0.13043478260869565,0.2318840579710145
38,38,134-MS-KHI-MLR,0.9078947368421053,0.02631578947368421,0.06578947368421052,0.9210526315789473,0.06578947368421052,0.013157894736842105,0.8055555555555556,0.09722222222222222,0.09722222222222222,0.9078947368421053,0.09210526315789473,0.0
39,39,143-MS-KHI-MLR,0.8481012658227848,0.012658227848101266,0.13924050632911392,0.8987341772151899,0.05063291139240506,0.05063291139240506,0.75,0.046875,0.203125,0.8987341772151899,0.0379746835443038,0.06329113924050633
40,40,145-MS-KHI-MLR,0.9036144578313253,0.03614457831325301,0.060240963855421686,0.8192771084337349,0.08433734939759036,0.0963855421686747,0.9642857142857143,0.03571428571428571,0.0,0.7710843373493976,0.07228915662650602,0.1566265060240964
41,41,146-MS-KHI-MLR,0.8977272727272727,0.10227272727272728,0.0,0.5681818181818182,0.3977272727272727,0.03409090909090909,0.6065573770491803,0.32786885245901637,0.06557377049180328,0.5681818181818182,0.42045454545454547,0.011363636363636364
42,42,147-MS-KHI-KRG,0.7666666666666667,0.15,0.08333333333333333,0.7068965517241379,0.1724137931034483,0.1206896551724138,0.6470588235294118,0.2647058823529412,0.08823529411764706,0.6833333333333333,0.2,0.11666666666666667
43,43,148-MS-KHI-KRG,0.9473684210526315,0.02631578947368421,0.02631578947368421,0.8648648648648649,0.05405405405405406,0.08108108108108109,0.9130434782608695,0.08695652173913043,0.0,0.8421052631578947,0.05263157894736842,0.10526315789473684
44,44,149-MS-KHI-KRG,0.6326530612244898,0.30612244897959184,0.061224489795918366,0.6041666666666666,0.16666666666666666,0.22916666666666666,0.8333333333333334,0.03333333333333333,0.13333333333333333,0.6530612244897959,0.16326530612244897,0.1836734693877551
45,45,152-MS-KHI-KRG,0.797752808988764,0.056179775280898875,0.14606741573033707,0.8651685393258427,0.0449438202247191,0.0898876404494382,0.8028169014084507,0.15492957746478872,0.04225352112676056,0.8,0.1111111111111111,0.08888888888888889
46,46,153-MS-KHI-MLR,0.6792452830188679,0.18867924528301888,0.1320754716981132,0.6981132075471698,0.1320754716981132,0.16981132075471697,0.8518518518518519,0.1111111111111111,0.037037037037037035,0.660377358490566,0.1320754716981132,0.20754716981132076
47,47,154-MS-KHI-KRG,0.9444444444444444,0.022222222222222223,0.03333333333333333,0.8,0.18888888888888888,0.011111111111111112,0.9433962264150944,0.0,0.05660377358490566,0.8111111111111111,0.15555555555555556,0.03333333333333333
48,48,156-MS-KHI-MLR,0.5483870967741935,0.2903225806451613,0.16129032258064516,0.4,0.13333333333333333,0.4666666666666667,0.782608695652174,0.0,0.21739130434782608,0.7941176470588235,0.058823529411764705,0.14705882352941177
49,49,158-MS-KHI-MLR,0.7878787878787878,0.09090909090909091,0.12121212121212122,0.7575757575757576,0.09090909090909091,0.15151515151515152,0.8,0.0,0.2,0.7575757575757576,0.09090909090909091,0.15151515151515152
50,50,159-MS-KHI-KRG,0.72,0.08,0.2,0.96,0.0,0.04,0.8461538461538461,0.0,0.15384615384615385,0.88,0.0,0.12
