,Division,schoolName,num_active_students,num_total_students,dropout_rate
0,Banbhore,216-MS-BNB-THT,109,162,33.0
1,Banbhore,217-MS-BNB-THT,102,179,43.0
2,Banbhore,218-MS-BNB-THT,100,192,48.0
3,Banbhore,219-MS-BNB-THT,106,163,35.0
4,Banbhore,220-MS-BNB-THT,126,181,30.0
5,Hyderabad,161-MS-HYD-HYD,9,216,96.0
6,Hyderabad,162-MS-HYD-HYD,110,246,55.0
7,Hyderabad,164-MS-HYD-HYD,114,212,46.0
8,Hyderabad,165-MS-HYD-HYD,93,184,49.0
9,Hyderabad,166-MS-HYD-HYD,82,218,62.0
10,Hyderabad,167-MS-HYD-HYD,108,172,37.0
11,Hyderabad,168-MS-HYD-HYD,100,179,44.0
12,Hyderabad,169-MS-HYD-HYD,98,163,40.0
13,Hyderabad,170-MS-HYD-HYD,107,228,53.0
14,Hyderabad,171-MS-HYD-HYD,54,169,68.0
15,Hyderabad,179-MS-HYD-HYD,99,156,37.0
16,Hyderabad,180-MS-HYD-HYD,106,190,44.0
17,Hyderabad,181-MS-HYD-HYD,67,178,62.0
18,Hyderabad,182-MS-HYD-HYD,98,194,49.0
19,Hyderabad,183-MS-HYD-HYD,102,171,40.0
20,Hyderabad,195-MS-HYD-HYD,104,162,36.0
21,Hyderabad,197-MS-HYD-HYD,71,193,63.0
22,Hyderabad,198-MS-HYD-HYD,89,158,44.0
23,Hyderabad,199-MS-HYD-HYD,99,286,65.0
24,Hyderabad,200-MS-HYD-HYD,95,171,44.0
25,Karachi,101-MS-KHI-MLR,95,344,72.0
26,Karachi,103-MS-KHI-MLR,100,328,70.0
27,Karachi,104-MS-KHI-MLR,84,319,74.0
28,Karachi,108-MS-KHI-MLR,82,276,70.0
29,Karachi,109-MS-KHI-MLR,96,269,64.0
30,Karachi,110-MS-KHI-MLR,122,319,62.0
31,Karachi,111-MS-KHI-MLR,129,369,65.0
32,Karachi,112-MS-KHI-MLR,100,264,62.0
33,Karachi,114-MS-KHI-MLR,111,281,60.0
34,Karachi,115-MS-KHI-MLR,104,339,69.0
35,Karachi,117-MS-KHI-MLR,129,335,61.0
36,Karachi,118-MS-KHI-MLR,108,241,55.0
37,Karachi,119-MS-KHI-MLR,66,209,68.0
38,Karachi,120-MS-KHI-KRG,76,295,74.0
39,Karachi,121-MS-KHI-KRG,110,260,58.0
40,Karachi,125-MS-KHI-MLR,110,246,55.0
41,Karachi,128-MS-KHI-MLR,107,175,39.0
42,Karachi,129-MS-KHI-MLR,96,241,60.0
43,Karachi,130-MS-KHI-MLR,107,329,67.0
44,Karachi,131-MS-KHI-MLR,95,294,68.0
45,Karachi,132-MS-KHI-MLR,107,240,55.0
46,Karachi,133-MS-KHI-MLR,97,284,66.0
47,Karachi,134-MS-KHI-MLR,100,254,61.0
48,Karachi,143-MS-KHI-MLR,94,194,52.0
49,Karachi,145-MS-KHI-MLR,124,304,59.0
50,Karachi,146-MS-KHI-MLR,127,279,54.0
51,Karachi,147-MS-KHI-KRG,107,298,64.0
52,Karachi,148-MS-KHI-KRG,79,242,67.0
53,Karachi,149-MS-KHI-KRG,98,320,69.0
54,Karachi,152-MS-KHI-KRG,115,283,59.0
55,Karachi,153-MS-KHI-MLR,112,286,61.0
56,Karachi,154-MS-KHI-KRG,113,162,30.0
57,Karachi,156-MS-KHI-MLR,101,350,71.0
58,Karachi,158-MS-KHI-MLR,74,348,79.0
59,Karachi,159-MS-KHI-KRG,57,164,65.0
60,Karachi,160-MS-KHI-MLR,96,243,60.0
61,Karachi,173-MS-KHI-MLR,96,342,72.0
62,Karachi,175-MS-KHI-KRG,108,255,58.0
63,Karachi,176-MS-KHI-MLR,103,192,46.0
64,Karachi,177-MS-KHI-KRG,111,259,57.0
65,Karachi,184-MS-KHI-MLR,102,154,34.0
66,Karachi,185-MS-KHI-MLR,95,177,46.0
67,Karachi,MS-KHI-MLR-101,96,227,58.0
68,Karachi,MS-KHI-MLR-102,76,124,39.0
69,Larkana,228-MS-LRK-LRK,100,137,27.0
70,Larkana,229-MS-LRK-LRK,100,131,24.0
71,Larkana,230-MS-LRK-LRK,100,124,19.0
72,Larkana,231-MS-LRK-LRK,100,132,24.0
73,Larkana,236-MS-LRK-LRK,100,127,21.0
74,Larkana,239-MS-LRK-LRK,100,129,22.0
75,Larkana,240-MS-LRK-LRK,100,116,14.0
76,Mirpurkhas,186-MS-MPK-MPK,96,126,24.0
77,Mirpurkhas,187-MS-MPK-MPK,89,157,43.0
78,Mirpurkhas,188-MS-MPK-MPK,100,178,44.0
79,Mirpurkhas,189-MS-MPK-MPK,92,150,39.0
80,Mirpurkhas,190-MS-MPK-MPK,94,256,63.0
81,Mirpurkhas,191-MS-MPK-MPK,100,128,22.0
82,Mirpurkhas,192-MS-MPK-MPK,83,144,42.0
83,Mirpurkhas,193-MS-MPK-MPK,99,165,40.0
84,Mirpurkhas,194-MS-MPK-MPK,91,167,46.0
85,Mirpurkhas,196-MS-MPK-MPK,98,122,20.0
86,Mirpurkhas,221-MS-MPK-MPK,100,146,32.0
87,Mirpurkhas,223-MS-MPK-MPK,93,110,15.0
88,Mirpurkhas,224-MS-MPK-MPK,93,153,39.0
89,Mirpurkhas,225-MS-MPK-MPK,92,129,29.0
90,Mirpurkhas,226-MS-MPK-MPK,98,158,38.0
91,Mirpurkhas,227-MS-MPK-MPK,40,132,70.0
92,Sehwan,003-MS-KHI-MLR,88,227,61.0
93,Sehwan,004-MS-KHI-MLR,76,216,65.0
94,Sehwan,005-MS-KHI-MLR,75,176,57.0
95,Sehwan,006-MS-KHI-MLR,99,298,67.0
96,Sehwan,007-MS-LHR-CNT,93,138,33.0
97,Sehwan,011-MS-LHR-CNT,67,134,50.0
98,Sehwan,012-MS-KHI-MLR,72,292,75.0
99,Sehwan,013-MS-ISB-KRL,96,142,32.0
100,Sehwan,014-MS-KHI-MLR,83,353,76.0
101,Sehwan,015-MS-KHI-MLR,92,258,64.0
102,Sehwan,016-MS-LHR-CNT,92,194,53.0
103,Sehwan,017-MS-LHR-CNT,95,201,53.0
104,Sehwan,018-MS-KHI-KS,95,232,59.0
105,Sehwan,020-MS-KHI-MLR,96,159,40.0
106,Sehwan,022-MS-KHI-MLR,94,121,22.0
107,Sehwan,023-MS-KHI-MLR,98,130,25.0
108,Sukkur,232-MS-KHR-SUK,97,125,22.0
109,Sukkur,233-MS-KHR-SUK,97,127,24.0
110,Sukkur,234-MS-KHR-SUK,91,119,24.0
111,Sukkur,235-MS-KHR-SUK,100,144,31.0
112,Sukkur,237-MS-KHR-SUK,100,139,28.0
113,Sukkur,238-MS-KHR-SUK,100,127,21.0
