Division,schoolName,final_combined_index,activity_learning_index,curr_final_index,dig_DLI,activity_learning_index_category,curr_final_index_category,dig_DLI_category,final_combined_index_category,final_combined_index_color,curr_final_index_color,dig_DLI_category_color,activity_learning_index_category_color
Banbhore,216-MS-BNB-THT,0.20797286032967366,0.32522912255383063,0.04411840457908385,0.4015748031496063,average,average,average,average,orange,orange,orange,orange
Banbhore,217-MS-BNB-THT,0.2996557895329166,0.3244376314169394,0.2244463779594259,0.3823529411764705,average,average,average,average,orange,orange,orange,orange
Banbhore,218-MS-BNB-THT,0.2112215654530293,0.3157233111877538,0.090312048199543,0.3289473684210526,average,average,average,average,orange,orange,orange,orange
Banbhore,219-MS-BNB-THT,0.24461839162517704,0.31074050305283807,0.0600783932437579,0.35651676829268286,average,average,average,average,orange,orange,orange,orange
Banbhore,220-MS-BNB-THT,0.18133209621221102,0.31180492866857146,-0.07673100453920595,0.3229166666666667,average,average,average,average,orange,orange,orange,orange
Hyderabad,161-MS-HYD-HYD,0.1482270341321328,0.30881283726184305,-0.0730038744251941,0.4615384615384615,average,average,average,average,orange,orange,orange,orange
Hyderabad,162-MS-HYD-HYD,0.19189840840447236,0.3226472411629083,-0.03620894795654155,0.4027777777777778,average,average,average,average,orange,orange,orange,orange
Hyderabad,164-MS-HYD-HYD,0.2072933953467109,0.3175546446451527,-0.114317220176607,0.4681818181818182,average,average,average,average,orange,orange,orange,orange
Hyderabad,165-MS-HYD-HYD,0.19619438074167758,0.3207921239893424,0.0254172085606242,0.30357142857142855,average,average,average,average,orange,orange,orange,orange
Hyderabad,166-MS-HYD-HYD,0.30780003826179936,0.32382767379951805,0.1555134028062012,0.44704461494742825,average,average,average,average,orange,orange,orange,orange
Hyderabad,167-MS-HYD-HYD,0.3387802437276761,0.33902867524183905,0.08827814970088535,0.5923462986198244,average,average,average,average,orange,orange,orange,orange
Hyderabad,168-MS-HYD-HYD,0.2640263450493469,0.32191685362069683,0.0092853696075723,0.5188679245283019,average,average,average,average,orange,orange,orange,orange
Hyderabad,169-MS-HYD-HYD,0.2747455916552488,0.32023013501338715,0.0506881243022629,0.4864864864864865,average,average,average,average,orange,orange,orange,orange
Hyderabad,170-MS-HYD-HYD,0.2475044467034178,0.3152253290476874,0.0163533158460967,0.4366197183098591,average,average,average,average,orange,orange,orange,orange
Hyderabad,171-MS-HYD-HYD,0.0904918953414107,0.317332435151701,-0.1522654455653348,0.3545454545454545,average,average,average,average,orange,orange,orange,orange
Hyderabad,179-MS-HYD-HYD,0.19948472133702919,0.32620159053509823,-0.16502538294617547,0.5187980663590419,average,average,average,average,orange,orange,orange,orange
Hyderabad,180-MS-HYD-HYD,0.2874369041238998,0.3272303863077357,0.0634418181231554,0.5273972602739726,average,average,average,average,orange,orange,orange,orange
Hyderabad,181-MS-HYD-HYD,0.27414504244394583,0.330244191524362,-0.0071376660623047004,0.5141911764705882,average,average,average,average,orange,orange,orange,orange
Hyderabad,182-MS-HYD-HYD,0.19217764131577506,0.3169667418908386,-0.06340389929638955,0.3333333333333333,average,average,average,average,orange,orange,orange,orange
